epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,3039.62,0.99955,0.76013,1.16159,0.82331,0.66971,0.71554,0.3939,1.62997,0.90487,1.57432,0.0266906,0.00889686,0.0266906,0.00889686,0.0266906,0.00889686,0.0266906,0.00889686
41,3114.44,1.00139,0.766,1.16038,0.87623,0.66696,0.72866,0.41751,1.50878,0.82481,1.48299,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857,0.0266057,0.00886857
42,3189.52,0.99347,0.75859,1.15504,0.8227,0.63914,0.69543,0.37717,1.6984,0.89137,1.62041,0.0265209,0.00884029,0.0265209,0.00884029,0.0265209,0.00884029,0.0265209,0.00884029
43,3264.06,0.98823,0.75035,1.15626,0.84977,0.67526,0.73669,0.40255,1.57062,0.84682,1.53258,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
44,3338.88,0.98847,0.74943,1.15457,0.84473,0.67627,0.73819,0.40266,1.58456,0.83319,1.52147,0.0263511,0.00878371,0.0263511,0.00878371,0.0263511,0.00878371,0.0263511,0.00878371
45,3413.75,0.97378,0.74395,1.14967,0.7889,0.67125,0.69902,0.39172,1.66359,0.93342,1.59426,0.0262663,0.00875543,0.0262663,0.00875543,0.0262663,0.00875543,0.0262663,0.00875543
46,3488.54,0.9811,0.73842,1.15068,0.85473,0.65581,0.72285,0.38437,1.59011,0.87157,1.55273,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714,0.0261814,0.00872714
47,3563.44,0.9646,0.72709,1.14378,0.8671,0.66314,0.73072,0.40104,1.58048,0.86046,1.5064,0.0260966,0.00869886,0.0260966,0.00869886,0.0260966,0.00869886,0.0260966,0.00869886
48,3638.11,0.96549,0.72792,1.14276,0.85705,0.68776,0.73745,0.40576,1.58676,0.82917,1.53066,0.0260117,0.00867057,0.0260117,0.00867057,0.0260117,0.00867057,0.0260117,0.00867057
49,3713.14,0.9601,0.718,1.14134,0.82747,0.70184,0.73699,0.39553,1.63944,0.82722,1.53507,0.0259269,0.00864229,0.0259269,0.00864229,0.0259269,0.00864229,0.0259269,0.00864229
50,3787.94,0.95726,0.71254,1.13425,0.84492,0.68137,0.73766,0.40996,1.60851,0.81497,1.53088,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
51,3862.42,0.94819,0.71096,1.1346,0.83154,0.65839,0.70493,0.38005,1.71308,0.8906,1.63691,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571,0.0257571,0.00858571
52,3937.07,0.95146,0.70683,1.1333,0.81685,0.69787,0.73976,0.39976,1.60091,0.85084,1.55286,0.0256723,0.00855743,0.0256723,0.00855743,0.0256723,0.00855743,0.0256723,0.00855743
53,4011.96,0.94426,0.70416,1.12868,0.84431,0.70128,0.74789,0.40674,1.61331,0.85723,1.53664,0.0255874,0.00852914,0.0255874,0.00852914,0.0255874,0.00852914,0.0255874,0.00852914
54,4086.59,0.93672,0.69414,1.12541,0.84496,0.69647,0.74093,0.4214,1.55687,0.80266,1.50015,0.0255026,0.00850086,0.0255026,0.00850086,0.0255026,0.00850086,0.0255026,0.00850086
55,4161.47,0.93904,0.69132,1.12397,0.84653,0.72712,0.77,0.43826,1.49366,0.78932,1.46431,0.0254177,0.00847257,0.0254177,0.00847257,0.0254177,0.00847257,0.0254177,0.00847257
56,4236.29,0.93689,0.68612,1.11714,0.79976,0.66477,0.7087,0.39829,1.64515,0.87891,1.55965,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429,0.0253329,0.00844429
57,4311,0.92124,0.67691,1.11514,0.86374,0.67341,0.73199,0.4107,1.5537,0.82167,1.51296,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
58,4385.58,0.92481,0.68036,1.11527,0.81047,0.67666,0.72768,0.40692,1.60736,0.81968,1.52923,0.0251631,0.00838771,0.0251631,0.00838771,0.0251631,0.00838771,0.0251631,0.00838771
59,4460.34,0.91856,0.67096,1.11448,0.84742,0.69495,0.75076,0.42405,1.52737,0.79364,1.47416,0.0250783,0.00835943,0.0250783,0.00835943,0.0250783,0.00835943,0.0250783,0.00835943
