epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
78,6250.76,0.84504,0.59787,1.07087,0.87493,0.71581,0.77231,0.44244,1.50451,0.75535,1.47082,0.0208524,0.0069508,0.0208524,0.0069508,0.0208524,0.0069508,0.0208524,0.0069508
79,6329.75,0.84105,0.59299,1.06735,0.86342,0.71637,0.76508,0.44066,1.51916,0.75311,1.48145,0.0207336,0.0069112,0.0207336,0.0069112,0.0207336,0.0069112,0.0207336,0.0069112
80,6410.46,0.84513,0.59584,1.06753,0.84938,0.7139,0.75519,0.44432,1.48263,0.76822,1.48225,0.0206148,0.0068716,0.0206148,0.0068716,0.0206148,0.0068716,0.0206148,0.0068716
81,6487.46,0.84019,0.58754,1.06828,0.82103,0.71828,0.74383,0.43217,1.53211,0.75605,1.50604,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
82,6564.21,0.83943,0.58635,1.06493,0.83101,0.72223,0.75295,0.4395,1.51897,0.74891,1.47471,0.0203772,0.0067924,0.0203772,0.0067924,0.0203772,0.0067924,0.0203772,0.0067924
83,6640.54,0.83776,0.58425,1.06176,0.8691,0.73483,0.77838,0.45507,1.46521,0.71955,1.45815,0.0202584,0.0067528,0.0202584,0.0067528,0.0202584,0.0067528,0.0202584,0.0067528
84,6716.99,0.82693,0.58366,1.05631,0.8517,0.74069,0.7723,0.44026,1.51867,0.74811,1.49408,0.0201396,0.0067132,0.0201396,0.0067132,0.0201396,0.0067132,0.0201396,0.0067132
85,6793.63,0.83954,0.58598,1.05999,0.82769,0.72802,0.76757,0.45342,1.48222,0.74118,1.4708,0.0200208,0.0066736,0.0200208,0.0066736,0.0200208,0.0066736,0.0200208,0.0066736
86,6869.8,0.82417,0.5788,1.06012,0.87301,0.71058,0.77738,0.45361,1.47917,0.74738,1.45148,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
87,6946.31,0.82608,0.57678,1.05631,0.85972,0.72132,0.76531,0.44284,1.51884,0.74633,1.49558,0.0197832,0.0065944,0.0197832,0.0065944,0.0197832,0.0065944,0.0197832,0.0065944
88,7022.89,0.83203,0.57618,1.05671,0.83486,0.70714,0.75584,0.43986,1.53711,0.75346,1.49195,0.0196644,0.0065548,0.0196644,0.0065548,0.0196644,0.0065548,0.0196644,0.0065548
89,7100.03,0.8213,0.56738,1.04726,0.83801,0.73082,0.76903,0.44641,1.49893,0.72792,1.48181,0.0195456,0.0065152,0.0195456,0.0065152,0.0195456,0.0065152,0.0195456,0.0065152
90,7176.23,0.8108,0.569,1.05039,0.89368,0.67697,0.75687,0.43175,1.55895,0.75934,1.5235,0.0194268,0.0064756,0.0194268,0.0064756,0.0194268,0.0064756,0.0194268,0.0064756
91,7252.14,0.80787,0.55927,1.04563,0.86426,0.72909,0.7745,0.45198,1.50528,0.73157,1.48144,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
92,7328.68,0.81141,0.56366,1.04661,0.90053,0.68026,0.77368,0.45189,1.47577,0.71529,1.44662,0.0191892,0.0063964,0.0191892,0.0063964,0.0191892,0.0063964,0.0191892,0.0063964
93,7403.92,0.81282,0.56339,1.04663,0.86312,0.69576,0.757,0.44825,1.46078,0.74004,1.43979,0.0190704,0.0063568,0.0190704,0.0063568,0.0190704,0.0063568,0.0190704,0.0063568
94,7479.38,0.80875,0.56116,1.04594,0.84928,0.74007,0.77809,0.44704,1.51427,0.73285,1.48585,0.0189516,0.0063172,0.0189516,0.0063172,0.0189516,0.0063172,0.0189516,0.0063172
95,7555.14,0.81536,0.56388,1.04538,0.83693,0.72199,0.76329,0.44429,1.50634,0.72578,1.50911,0.0188328,0.0062776,0.0188328,0.0062776,0.0188328,0.0062776,0.0188328,0.0062776
96,7631.04,0.79929,0.55798,1.04658,0.84139,0.72813,0.76897,0.45851,1.46124,0.7218,1.46082,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
97,7706.45,0.7997,0.55848,1.03978,0.86981,0.71287,0.76167,0.45881,1.42906,0.7275,1.45167,0.0185952,0.0061984,0.0185952,0.0061984,0.0185952,0.0061984,0.0185952,0.0061984
98,7783.41,0.7994,0.54995,1.03731,0.89928,0.72778,0.78848,0.46806,1.45932,0.72097,1.44885,0.0184764,0.0061588,0.0184764,0.0061588,0.0184764,0.0061588,0.0184764,0.0061588
99,7861.02,0.79842,0.54993,1.03808,0.87412,0.70567,0.75785,0.44069,1.52226,0.79077,1.50334,0.0183576,0.0061192,0.0183576,0.0061192,0.0183576,0.0061192,0.0183576,0.0061192
100,7937.31,0.79381,0.55036,1.04121,0.88512,0.70983,0.76864,0.45418,1.49701,0.73407,1.49073,0.0182388,0.0060796,0.0182388,0.0060796,0.0182388,0.0060796,0.0182388,0.0060796
101,8013.71,0.79696,0.55138,1.04084,0.876,0.73036,0.7756,0.46457,1.47463,0.70952,1.47329,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
102,8090.79,0.7862,0.542,1.03729,0.87391,0.74142,0.78323,0.46086,1.48057,0.72577,1.48559,0.0180012,0.0060004,0.0180012,0.0060004,0.0180012,0.0060004,0.0180012,0.0060004
103,8167.15,0.78876,0.5438,1.03129,0.85301,0.71284,0.75949,0.45227,1.50847,0.7435,1.4991,0.0178824,0.0059608,0.0178824,0.0059608,0.0178824,0.0059608,0.0178824,0.0059608
104,8244.15,0.78715,0.54285,1.03322,0.89308,0.74501,0.80071,0.46167,1.48023,0.70554,1.46523,0.0177636,0.0059212,0.0177636,0.0059212,0.0177636,0.0059212,0.0177636,0.0059212
105,8320.86,0.78941,0.54818,1.0398,0.89411,0.72993,0.7921,0.46505,1.48116,0.70495,1.46391,0.0176448,0.0058816,0.0176448,0.0058816,0.0176448,0.0058816,0.0176448,0.0058816
106,8398.07,0.77914,0.54117,1.0331,0.84952,0.75092,0.77959,0.46362,1.47114,0.70584,1.46528,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
107,8476.65,0.77791,0.5327,1.02743,0.86353,0.74144,0.78457,0.46547,1.45147,0.69963,1.45739,0.0174072,0.0058024,0.0174072,0.0058024,0.0174072,0.0058024,0.0174072,0.0058024
108,8552.59,0.78378,0.53544,1.0314,0.86573,0.75766,0.78739,0.46259,1.48216,0.70903,1.45693,0.0172884,0.0057628,0.0172884,0.0057628,0.0172884,0.0057628,0.0172884,0.0057628
109,8627.32,0.77869,0.52776,1.02585,0.84724,0.74182,0.77475,0.45692,1.4773,0.72223,1.46646,0.0171696,0.0057232,0.0171696,0.0057232,0.0171696,0.0057232,0.0171696,0.0057232
110,8701.9,0.76904,0.52688,1.02557,0.84011,0.75142,0.77387,0.45773,1.46891,0.69832,1.47409,0.0170508,0.0056836,0.0170508,0.0056836,0.0170508,0.0056836,0.0170508,0.0056836
111,8776.68,0.76283,0.52489,1.02626,0.85505,0.74681,0.77299,0.45509,1.50123,0.70058,1.50912,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
112,8855.92,0.76781,0.52257,1.02331,0.8625,0.72771,0.7806,0.46438,1.44606,0.70128,1.45972,0.0168132,0.0056044,0.0168132,0.0056044,0.0168132,0.0056044,0.0168132,0.0056044
113,8932.85,0.76128,0.52136,1.02087,0.86572,0.73653,0.78199,0.467,1.43239,0.72457,1.43931,0.0166944,0.0055648,0.0166944,0.0055648,0.0166944,0.0055648,0.0166944,0.0055648
114,9009.6,0.76356,0.52634,1.0223,0.87109,0.72526,0.77738,0.46584,1.42634,0.71768,1.43704,0.0165756,0.0055252,0.0165756,0.0055252,0.0165756,0.0055252,0.0165756,0.0055252
115,9094.09,0.76222,0.52341,1.02278,0.84184,0.73325,0.77685,0.46134,1.45681,0.71224,1.45755,0.0164568,0.0054856,0.0164568,0.0054856,0.0164568,0.0054856,0.0164568,0.0054856
116,9175.09,0.76912,0.52769,1.02623,0.86054,0.73195,0.78284,0.46978,1.43727,0.72657,1.43743,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
117,9254.49,0.75519,0.52161,1.01878,0.86829,0.73286,0.79147,0.4662,1.45001,0.69725,1.44023,0.0162192,0.0054064,0.0162192,0.0054064,0.0162192,0.0054064,0.0162192,0.0054064
118,9329.59,0.74819,0.51201,1.01132,0.87773,0.74054,0.79088,0.47091,1.44356,0.70002,1.43999,0.0161004,0.0053668,0.0161004,0.0053668,0.0161004,0.0053668,0.0161004,0.0053668
119,9404.21,0.7536,0.5133,1.0146,0.87005,0.7388,0.79835,0.47387,1.42436,0.69464,1.42881,0.0159816,0.0053272,0.0159816,0.0053272,0.0159816,0.0053272,0.0159816,0.0053272
120,9481.22,0.75324,0.51512,1.01338,0.89549,0.74409,0.80688,0.47241,1.43,0.68677,1.4438,0.0158628,0.0052876,0.0158628,0.0052876,0.0158628,0.0052876,0.0158628,0.0052876
121,9555.65,0.75162,0.51397,1.01316,0.88258,0.74286,0.79614,0.47555,1.41245,0.68477,1.42602,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
122,9630.91,0.73728,0.5064,1.01132,0.90485,0.72501,0.78959,0.47272,1.42072,0.68069,1.44024,0.0156252,0.0052084,0.0156252,0.0052084,0.0156252,0.0052084,0.0156252,0.0052084
123,9705.9,0.74427,0.50957,1.01584,0.88779,0.73615,0.78307,0.47812,1.38701,0.68567,1.41731,0.0155064,0.0051688,0.0155064,0.0051688,0.0155064,0.0051688,0.0155064,0.0051688
124,9781.36,0.73617,0.50323,1.01277,0.90063,0.72082,0.77642,0.4684,1.42185,0.70326,1.44417,0.0153876,0.0051292,0.0153876,0.0051292,0.0153876,0.0051292,0.0153876,0.0051292
125,9857.22,0.73336,0.503,1.00998,0.87979,0.72252,0.77106,0.46601,1.42078,0.69885,1.45275,0.0152688,0.0050896,0.0152688,0.0050896,0.0152688,0.0050896,0.0152688,0.0050896
126,9931.57,0.73933,0.50384,1.00539,0.89235,0.77065,0.80877,0.49029,1.37895,0.66066,1.40939,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
127,10004.4,0.73306,0.49887,1.00724,0.87435,0.74584,0.78829,0.48587,1.38795,0.66734,1.42905,0.0150312,0.0050104,0.0150312,0.0050104,0.0150312,0.0050104,0.0150312,0.0050104
128,10076.1,0.73512,0.49835,1.01042,0.86725,0.74241,0.78446,0.47802,1.41607,0.68024,1.45667,0.0149124,0.0049708,0.0149124,0.0049708,0.0149124,0.0049708,0.0149124,0.0049708
129,10148.8,0.73681,0.49871,1.00448,0.87306,0.75104,0.79009,0.47391,1.42182,0.70279,1.45194,0.0147936,0.0049312,0.0147936,0.0049312,0.0147936,0.0049312,0.0147936,0.0049312
130,10225.1,0.73481,0.49464,1.00355,0.87863,0.74295,0.78456,0.46361,1.4329,0.7005,1.48147,0.0146748,0.0048916,0.0146748,0.0048916,0.0146748,0.0048916,0.0146748,0.0048916
131,10303.4,0.73289,0.49923,1.00367,0.87214,0.7568,0.78979,0.47551,1.42431,0.69768,1.45599,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
